batter,runs,balls_faced,strike_rate
A Singh,2,9,22.22
Mohammad Ashraful,2,10,20.0
HF Gurney,1,5,20.0
Shoaib Ahmed,1,6,16.67
KK Ahmed,1,7,14.29
R Sanjay Yadav,0,2,0.0
RP Meredith,0,3,0.0
RR Bhatkal,0,2,0.0
Mayank Dagar,0,1,0.0
Y Prithvi Raj,0,1,0.0
ND Doshi,0,13,0.0
V Pratap Singh,0,1,0.0
S Kaushik,0,1,0.0
Abdur Razzak,0,2,0.0
K Yadav,0,4,0.0
KR Sen,0,3,0.0
KM Asif,0,2,0.0
S Lamichhane,0,1,0.0
L Ablish,0,2,0.0
S Ladda,0,9,0.0
SS Cottrell,0,2,0.0
IC Pandey,0,2,0.0
C Nanda,0,1,0.0
JL Denly,0,1,0.0
Sunny Gupta,0,1,0.0
Yash Dayal,0,1,0.0
U Kaul,0,1,0.0
YA Abdulla,0,1,0.0
