match_id,season,team1,team2,runs
1304092,2022,Chennai Super Kings,Sunrisers Hyderabad,391
1216541,2020/21,Mumbai Indians,Rajasthan Royals,391
980949,2016,Rising Pune Supergiants,Gujarat Lions,391
1136572,2018,Kings XI Punjab,Chennai Super Kings,390
1175358,2019,Delhi Capitals,Mumbai Indians,389
1136569,2018,Mumbai Indians,Delhi Daredevils,389
1359482,2023,Punjab Kings,Rajasthan Royals,389
829811,2015,Rajasthan Royals,Kolkata Knight Riders,389
1216517,2020/21,Mumbai Indians,Kings XI Punjab,388
1082623,2017,Kings XI Punjab,Sunrisers Hyderabad,388
419159,2009/10,Kings XI Punjab,Chennai Super Kings,387
1178417,2019,Royal Challengers Bangalore,Kings XI Punjab,387
1175365,2019,Kolkata Knight Riders,Delhi Capitals,387
1304065,2022,Delhi Capitals,Kolkata Knight Riders,386
980969,2016,Royal Challengers Bangalore,Rising Pune Supergiants,386
598034,2013,Chennai Super Kings,Kolkata Knight Riders,386
336014,2007/08,Deccan Chargers,Kolkata Knight Riders,385
1370353,2023,Gujarat Titans,Chennai Super Kings,385
1359514,2023,Sunrisers Hyderabad,Delhi Capitals,385
1254085,2021,Rajasthan Royals,Sunrisers Hyderabad,385
1304091,2022,Lucknow Super Giants,Delhi Capitals,384
548366,2012,Kings XI Punjab,Deccan Chargers,384
1304069,2022,Punjab Kings,Mumbai Indians,384
598064,2013,Kings XI Punjab,Royal Challengers Bangalore,384
734041,2014,Mumbai Indians,Rajasthan Royals,384
729291,2014,Rajasthan Royals,Kings XI Punjab,384
1178415,2019,Rajasthan Royals,Delhi Capitals,384
980921,2016,Royal Challengers Bangalore,Delhi Daredevils,383
1304111,2022,Sunrisers Hyderabad,Mumbai Indians,383
1136586,2018,Delhi Daredevils,Kolkata Knight Riders,383
1216538,2020/21,Mumbai Indians,Sunrisers Hyderabad,382
548381,2012,Kolkata Knight Riders,Chennai Super Kings,382
733999,2014,Royal Challengers Bangalore,Rajasthan Royals,381
1082637,2017,Kings XI Punjab,Gujarat Lions,381
501206,2011,Kings XI Punjab,Chennai Super Kings,381
1304072,2022,Lucknow Super Giants,Mumbai Indians,380
1136574,2018,Mumbai Indians,Royal Challengers Bangalore,380
548329,2012,Deccan Chargers,Delhi Daredevils,380
1304098,2022,Punjab Kings,Rajasthan Royals,379
1312197,2022,Rajasthan Royals,Gujarat Titans,379
1254089,2021,Chennai Super Kings,Rajasthan Royals,379
1359510,2023,Kolkata Knight Riders,Royal Challengers Bangalore,379
1082591,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,379
1178423,2019,Sunrisers Hyderabad,Kings XI Punjab,379
1304062,2022,Punjab Kings,Gujarat Titans,379
1254059,2021,Chennai Super Kings,Delhi Capitals,378
1136602,2018,Delhi Daredevils,Sunrisers Hyderabad,378
501213,2011,Pune Warriors,Delhi Daredevils,377
1422129,2024,Lucknow Super Giants,Punjab Kings,377
336028,2007/08,Mumbai Indians,Kings XI Punjab,377
392231,2009,Chennai Super Kings,Kolkata Knight Riders,377
1426279,2024,Royal Challengers Bengaluru,Sunrisers Hyderabad,377
548342,2012,Delhi Daredevils,Mumbai Indians,377
1359540,2023,Punjab Kings,Rajasthan Royals,376
336020,2007/08,Delhi Daredevils,Deccan Chargers,376
980909,2016,Kolkata Knight Riders,Mumbai Indians,375
419116,2009/10,Delhi Daredevils,Chennai Super Kings,375
336009,2007/08,Delhi Daredevils,Chennai Super Kings,375
1178402,2019,Mumbai Indians,Rajasthan Royals,375
1082613,2017,Kolkata Knight Riders,Gujarat Lions,375
1426271,2024,Mumbai Indians,Punjab Kings,375
980959,2016,Royal Challengers Bangalore,Kolkata Knight Riders,374
598006,2013,Mumbai Indians,Delhi Daredevils,374
734029,2014,Chennai Super Kings,Sunrisers Hyderabad,374
1082630,2017,Delhi Daredevils,Sunrisers Hyderabad,374
980953,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,373
829711,2015,Chennai Super Kings,Sunrisers Hyderabad,373
1359539,2023,Sunrisers Hyderabad,Royal Challengers Bangalore,373
1422137,2024,Royal Challengers Bengaluru,Rajasthan Royals,372
1426292,2024,Kolkata Knight Riders,Lucknow Super Giants,372
1359511,2023,Rajasthan Royals,Chennai Super Kings,372
829729,2015,Mumbai Indians,Chennai Super Kings,372
335998,2007/08,Delhi Daredevils,Royal Challengers Bangalore,372
1082592,2017,Rising Pune Supergiant,Mumbai Indians,371
1359496,2023,Kolkata Knight Riders,Mumbai Indians,371
1359506,2023,Royal Challengers Bangalore,Rajasthan Royals,371
1216537,2020/21,Kings XI Punjab,Rajasthan Royals,371
1136576,2018,Kings XI Punjab,Sunrisers Hyderabad,371
598025,2013,Kings XI Punjab,Pune Warriors,371
598026,2013,Chennai Super Kings,Rajasthan Royals,371
829715,2015,Delhi Daredevils,Rajasthan Royals,370
1359499,2023,Mumbai Indians,Sunrisers Hyderabad,370
1254067,2021,Royal Challengers Bangalore,Kolkata Knight Riders,370
419145,2009/10,Royal Challengers Bangalore,Deccan Chargers,370
1082627,2017,Sunrisers Hyderabad,Kolkata Knight Riders,370
598051,2013,Sunrisers Hyderabad,Chennai Super Kings,369
392189,2009,Chennai Super Kings,Delhi Daredevils,369
980995,2016,Kolkata Knight Riders,Royal Challengers Bangalore,369
1359541,2023,Chennai Super Kings,Delhi Capitals,369
1136610,2018,Mumbai Indians,Kings XI Punjab,369
1254111,2021,Rajasthan Royals,Punjab Kings,368
1359524,2023,Royal Challengers Bangalore,Delhi Capitals,368
1422128,2024,Royal Challengers Bengaluru,Kolkata Knight Riders,368
1136605,2018,Delhi Daredevils,Royal Challengers Bangalore,368
1175362,2019,Mumbai Indians,Royal Challengers Bangalore,368
1178427,2019,Kings XI Punjab,Kolkata Knight Riders,368
548327,2012,Royal Challengers Bangalore,Pune Warriors,368
1082611,2017,Sunrisers Hyderabad,Delhi Daredevils,367
829791,2015,Kolkata Knight Riders,Kings XI Punjab,367
1082593,2017,Gujarat Lions,Kolkata Knight Riders,367
1359532,2023,Sunrisers Hyderabad,Lucknow Super Giants,367
548317,2012,Mumbai Indians,Rajasthan Royals,367
1422122,2024,Rajasthan Royals,Lucknow Super Giants,366
548356,2012,Royal Challengers Bangalore,Deccan Chargers,366
501210,2011,Mumbai Indians,Kochi Tuskers Kerala,366
1082620,2017,Rising Pune Supergiant,Kolkata Knight Riders,366
829769,2015,Mumbai Indians,Rajasthan Royals,366
419136,2009/10,Kings XI Punjab,Royal Challengers Bangalore,365
829799,2015,Sunrisers Hyderabad,Kings XI Punjab,365
1304106,2022,Punjab Kings,Royal Challengers Bangalore,364
829777,2015,Rajasthan Royals,Delhi Daredevils,364
1175357,2019,Sunrisers Hyderabad,Kolkata Knight Riders,364
733991,2014,Royal Challengers Bangalore,Kings XI Punjab,364
729301,2014,Sunrisers Hyderabad,Delhi Daredevils,364
1254060,2021,Kolkata Knight Riders,Sunrisers Hyderabad,364
1216509,2020/21,Chennai Super Kings,Delhi Capitals,364
548333,2012,Delhi Daredevils,Pune Warriors,364
1304084,2022,Punjab Kings,Chennai Super Kings,363
829823,2015,Mumbai Indians,Chennai Super Kings,363
1304055,2022,Rajasthan Royals,Mumbai Indians,363
1304073,2022,Royal Challengers Bangalore,Delhi Capitals,362
829773,2015,Sunrisers Hyderabad,Chennai Super Kings,362
1422131,2024,Delhi Capitals,Chennai Super Kings,362
980937,2016,Gujarat Lions,Royal Challengers Bangalore,362
1426276,2024,Mumbai Indians,Rajasthan Royals,362
598060,2013,Mumbai Indians,Sunrisers Hyderabad,362
598054,2013,Delhi Daredevils,Royal Challengers Bangalore,362
1426261,2024,Sunrisers Hyderabad,Punjab Kings,362
1237180,2020/21,Delhi Capitals,Sunrisers Hyderabad,361
1359527,2023,Punjab Kings,Kolkata Knight Riders,361
419125,2009/10,Chennai Super Kings,Mumbai Indians,361
734027,2014,Kolkata Knight Riders,Royal Challengers Bangalore,360
598047,2013,Rajasthan Royals,Pune Warriors,360
1359475,2023,Chennai Super Kings,Gujarat Titans,360
1136580,2018,Chennai Super Kings,Sunrisers Hyderabad,360
548348,2012,Deccan Chargers,Pune Warriors,359
392214,2009,Chennai Super Kings,Kings XI Punjab,359
1136606,2018,Sunrisers Hyderabad,Chennai Super Kings,359
1136620,2018,Sunrisers Hyderabad,Chennai Super Kings,359
1359513,2023,Kolkata Knight Riders,Gujarat Titans,359
1359509,2023,Gujarat Titans,Mumbai Indians,359
1216513,2020/21,Kings XI Punjab,Chennai Super Kings,359
733981,2014,Delhi Daredevils,Chennai Super Kings,359
1304051,2022,Rajasthan Royals,Sunrisers Hyderabad,359
501254,2011,Kochi Tuskers Kerala,Kings XI Punjab,359
980991,2016,Kings XI Punjab,Sunrisers Hyderabad,359
1082597,2017,Mumbai Indians,Kolkata Knight Riders,358
1254073,2021,Rajasthan Royals,Royal Challengers Bangalore,358
1422127,2024,Rajasthan Royals,Delhi Capitals,358
1178401,2019,Kolkata Knight Riders,Delhi Capitals,358
548380,2012,Delhi Daredevils,Chennai Super Kings,358
1178421,2019,Delhi Capitals,Royal Challengers Bangalore,358
598041,2013,Chennai Super Kings,Kings XI Punjab,357
1254117,2021,Chennai Super Kings,Kolkata Knight Riders,357
980931,2016,Rising Pune Supergiants,Royal Challengers Bangalore,357
1136593,2018,Chennai Super Kings,Kolkata Knight Riders,357
598042,2013,Pune Warriors,Royal Challengers Bangalore,357
1426272,2024,Chennai Super Kings,Lucknow Super Giants,356
1216522,2020/21,Rajasthan Royals,Royal Challengers Bangalore,356
734005,2014,Royal Challengers Bangalore,Delhi Daredevils,356
1304048,2022,Mumbai Indians,Delhi Capitals,356
829713,2015,Kolkata Knight Riders,Royal Challengers Bangalore,356
1359497,2023,Gujarat Titans,Rajasthan Royals,356
733983,2014,Mumbai Indians,Royal Challengers Bangalore,355
1082615,2017,Rising Pune Supergiant,Sunrisers Hyderabad,355
336032,2007/08,Delhi Daredevils,Mumbai Indians,355
501243,2011,Deccan Chargers,Delhi Daredevils,354
1422124,2024,Punjab Kings,Royal Challengers Bengaluru,354
1175359,2019,Kings XI Punjab,Rajasthan Royals,354
1082606,2017,Mumbai Indians,Gujarat Lions,353
980971,2016,Kings XI Punjab,Delhi Daredevils,353
336031,2007/08,Kings XI Punjab,Deccan Chargers,353
1175364,2019,Mumbai Indians,Kings XI Punjab,353
1136603,2018,Chennai Super Kings,Rajasthan Royals,353
501267,2011,Kolkata Knight Riders,Mumbai Indians,353
501260,2011,Kings XI Punjab,Royal Challengers Bangalore,353
1178429,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,353
980941,2016,Kings XI Punjab,Mumbai Indians,353
1136563,2018,Royal Challengers Bangalore,Kolkata Knight Riders,353
501271,2011,Chennai Super Kings,Royal Challengers Bangalore,352
1178407,2019,Kings XI Punjab,Rajasthan Royals,352
980987,2016,Royal Challengers Bangalore,Gujarat Lions,352
419156,2009/10,Kings XI Punjab,Deccan Chargers,352
1178418,2019,Kolkata Knight Riders,Rajasthan Royals,352
501268,2011,Royal Challengers Bangalore,Chennai Super Kings,352
980947,2016,Mumbai Indians,Kolkata Knight Riders,352
1136589,2018,Royal Challengers Bangalore,Kolkata Knight Riders,351
1178416,2019,Sunrisers Hyderabad,Chennai Super Kings,351
1304071,2022,Kolkata Knight Riders,Sunrisers Hyderabad,351
548309,2012,Rajasthan Royals,Kings XI Punjab,351
1359542,2023,Lucknow Super Giants,Kolkata Knight Riders,351
1422120,2024,Delhi Capitals,Punjab Kings,351
1216536,2020/21,Kolkata Knight Riders,Chennai Super Kings,350
1216524,2020/21,Sunrisers Hyderabad,Delhi Capitals,350
1136594,2018,Kings XI Punjab,Mumbai Indians,350
1082616,2017,Gujarat Lions,Kings XI Punjab,350
598045,2013,Royal Challengers Bangalore,Kings XI Punjab,350
1136579,2018,Delhi Daredevils,Royal Challengers Bangalore,350
734045,2014,Chennai Super Kings,Mumbai Indians,349
980977,2016,Kings XI Punjab,Royal Challengers Bangalore,349
419128,2009/10,Royal Challengers Bangalore,Delhi Daredevils,349
392221,2009,Royal Challengers Bangalore,Kolkata Knight Riders,349
1359537,2023,Lucknow Super Giants,Mumbai Indians,349
1136597,2018,Mumbai Indians,Kolkata Knight Riders,349
1422125,2024,Chennai Super Kings,Gujarat Titans,349
829817,2015,Chennai Super Kings,Mumbai Indians,349
